query_id,case_id,task,candidate_count,configuration,profile,roles,relations,selected_ids,objective_total,semantic,chain,role,redundancy,recall_at_5,ndcg_at_5,complete_at_5,missing_gold_nodes,extra_nodes,current_vs_oracle_selection_changed,complete_repaired,complete_regressed,num_connected_components,largest_component_ratio,edge_count,role_coverage,oracle_profile_relation_fallback
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,CCC,current,current,current,"[""doc-4bf722a69208813714c3e754"", ""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-e2d8a223c34c34890d8fe282""]",0.5384239169978672,0.33773608050137044,0.055796325623669735,0.15501818181818183,-0.01012667094535483,0.8,0.7860137352654724,0.0,"[""doc-3ba7dac19be393385ef58851""]","[""doc-61db8c996e09d2c34c03bd47""]",False,False,False,2,0.6,3,0.775090909090909,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,CCO,current,current,oracle,"[""doc-4bf722a69208813714c3e754"", ""doc-61db8c996e09d2c34c03bd47"", ""doc-e2d8a223c34c34890d8fe282"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-212c856313f45e18fc835abc""]",0.49009658969691655,0.3304855907774776,0.0,0.16778181818181817,-0.008170819262379222,0.6,0.6548086577531307,0.0,"[""doc-3ba7dac19be393385ef58851"", ""doc-fd2503f929e2abd9022bd786""]","[""doc-212c856313f45e18fc835abc"", ""doc-61db8c996e09d2c34c03bd47""]",True,False,False,5,0.2,0,0.8389090909090908,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,COC,current,oracle,current,"[""doc-61db8c996e09d2c34c03bd47"", ""doc-4bf722a69208813714c3e754"", ""doc-fd2503f929e2abd9022bd786"", ""doc-212c856313f45e18fc835abc"", ""doc-eb72c3ad25ea7ba25393c1e2""]",0.5107360311228772,0.32650505623104786,0.05013848095986137,0.14181818181818182,-0.007725687886213799,0.6,0.5147714448836774,0.0,"[""doc-3ba7dac19be393385ef58851"", ""doc-e2d8a223c34c34890d8fe282""]","[""doc-212c856313f45e18fc835abc"", ""doc-61db8c996e09d2c34c03bd47""]",True,False,False,3,0.6,2,0.709090909090909,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,COO,current,oracle,oracle,"[""doc-61db8c996e09d2c34c03bd47"", ""doc-4bf722a69208813714c3e754"", ""doc-fd2503f929e2abd9022bd786"", ""doc-212c856313f45e18fc835abc"", ""doc-eb72c3ad25ea7ba25393c1e2""]",0.4605975501630159,0.32650505623104786,0.0,0.14181818181818182,-0.007725687886213799,0.6,0.5147714448836774,0.0,"[""doc-3ba7dac19be393385ef58851"", ""doc-e2d8a223c34c34890d8fe282""]","[""doc-212c856313f45e18fc835abc"", ""doc-61db8c996e09d2c34c03bd47""]",True,False,False,4,0.4,1,0.709090909090909,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,OCC,oracle,current,current,"[""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-3ba7dac19be393385ef58851"", ""doc-61db8c996e09d2c34c03bd47"", ""doc-4bf722a69208813714c3e754""]",0.5296757676932234,0.29893158411394316,0.0926756637711858,0.14940000000000003,-0.011331480191905606,0.8,0.8539316501572937,0.0,"[""doc-e2d8a223c34c34890d8fe282""]","[""doc-61db8c996e09d2c34c03bd47""]",True,False,False,2,0.6,3,0.7470000000000001,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,OCO,oracle,current,oracle,"[""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-3ba7dac19be393385ef58851"", ""doc-61db8c996e09d2c34c03bd47"", ""doc-4bf722a69208813714c3e754""]",0.537567087342904,0.29893158411394316,0.10056698342086642,0.14940000000000003,-0.011331480191905606,0.8,0.8539316501572937,0.0,"[""doc-e2d8a223c34c34890d8fe282""]","[""doc-61db8c996e09d2c34c03bd47""]",True,False,False,3,0.4,2,0.7470000000000001,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,OOC,oracle,oracle,current,"[""doc-4bf722a69208813714c3e754"", ""doc-e2d8a223c34c34890d8fe282"", ""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-3ba7dac19be393385ef58851""]",0.557884510668391,0.2772761352867013,0.0926756637711858,0.2,-0.01206728838949616,1.0,1.0,1.0,[],[],True,True,False,3,0.6,2,1.0,False
tefv5h-q-01-00,TEFV5H-01,complex_chain,12,OOO,oracle,oracle,oracle,"[""doc-4bf722a69208813714c3e754"", ""doc-e2d8a223c34c34890d8fe282"", ""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-3ba7dac19be393385ef58851""]",0.5657758303180715,0.2772761352867013,0.10056698342086642,0.2,-0.01206728838949616,1.0,1.0,1.0,[],[],True,True,False,4,0.4,1,1.0,False
tefv5h-q-01-01,TEFV5H-01,complex_chain,12,CCC,current,current,current,"[""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-10efe92ff6bdf6390f93eae4"", ""doc-212c856313f45e18fc835abc"", ""doc-4bf722a69208813714c3e754""]",0.5126475875678894,0.3209127914504007,0.040135779852899636,0.15948936170212769,-0.007890345437538627,0.6,0.7227265726449519,0.0,"[""doc-252ff3db660fee0b084479eb"", ""doc-3ba7dac19be393385ef58851""]","[""doc-212c856313f45e18fc835abc"", ""doc-4bf722a69208813714c3e754""]",False,False,False,3,0.6,2,0.7974468085106383,False
tefv5h-q-01-01,TEFV5H-01,complex_chain,12,CCO,current,current,oracle,"[""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-10efe92ff6bdf6390f93eae4"", ""doc-212c856313f45e18fc835abc"", ""doc-40bde0ad506bd05025a447b0""]",0.5057712842723485,0.33147387056584116,0.030971431470953627,0.15276595744680851,-0.009439975211254809,0.6,0.7227265726449519,0.0,"[""doc-252ff3db660fee0b084479eb"", ""doc-3ba7dac19be393385ef58851""]","[""doc-212c856313f45e18fc835abc"", ""doc-40bde0ad506bd05025a447b0""]",True,False,False,4,0.4,1,0.7638297872340425,False
