query_id,case_id,task,query,candidate_count,top_k,beam_selected_ids,exact_selected_ids,beam_objective,exact_objective,objective_gap,beam_equals_exact,beam_recall_at_5,exact_recall_at_5,beam_ndcg_at_5,exact_ndcg_at_5,beam_complete_at_5,exact_complete_at_5,beam_missing_gold_nodes,exact_missing_gold_nodes,beam_extra_nodes,exact_extra_nodes,failure_taxonomy
tefv5h-q-01-00,TEFV5H-01,complex_chain,设备TEFV5H-01，资料截止2026-01-13T12:00:00Z；从首次发现远传密度低告警到最终验证正常，这次缺陷处理的关键判断和操作步骤是什么？,12,5,"[""doc-4bf722a69208813714c3e754"", ""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-e2d8a223c34c34890d8fe282""]","[""doc-4bf722a69208813714c3e754"", ""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-eb72c3ad25ea7ba25393c1e2"", ""doc-e2d8a223c34c34890d8fe282""]",0.5384239169978672,0.5384239169978672,0.0,True,0.8,0.8,0.7860137352654724,0.7860137352654724,0.0,0.0,"[""doc-3ba7dac19be393385ef58851""]","[""doc-3ba7dac19be393385ef58851""]","[""doc-61db8c996e09d2c34c03bd47""]","[""doc-61db8c996e09d2c34c03bd47""]","[""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
tefv5h-q-01-01,TEFV5H-01,complex_chain,设备TEFV5H-01，资料截止2026-01-13T12:00:00Z；最初怀疑气体泄漏，后来如何被检查、替代线索和迟到证据更新，并最终定案？,12,5,"[""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-10efe92ff6bdf6390f93eae4"", ""doc-212c856313f45e18fc835abc"", ""doc-4bf722a69208813714c3e754""]","[""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-10efe92ff6bdf6390f93eae4"", ""doc-212c856313f45e18fc835abc"", ""doc-4bf722a69208813714c3e754""]",0.5126475875678894,0.5126475875678894,0.0,True,0.6,0.6,0.7227265726449519,0.7227265726449519,0.0,0.0,"[""doc-252ff3db660fee0b084479eb"", ""doc-3ba7dac19be393385ef58851""]","[""doc-252ff3db660fee0b084479eb"", ""doc-3ba7dac19be393385ef58851""]","[""doc-212c856313f45e18fc835abc"", ""doc-4bf722a69208813714c3e754""]","[""doc-212c856313f45e18fc835abc"", ""doc-4bf722a69208813714c3e754""]","[""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
tefv5h-q-01-02,TEFV5H-01,cutoff_sensitive,设备TEFV5H-01，资料截止2026-01-09T23:00:00Z；在迟到更新入库前，哪些事实已经确认，哪些还只是阶段性判断，哪些仍不能确认？,8,5,"[""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-e2d8a223c34c34890d8fe282"", ""doc-4bf722a69208813714c3e754"", ""doc-c842b344ebbb2923977eedcc""]","[""doc-61db8c996e09d2c34c03bd47"", ""doc-fd2503f929e2abd9022bd786"", ""doc-e2d8a223c34c34890d8fe282"", ""doc-4bf722a69208813714c3e754"", ""doc-c842b344ebbb2923977eedcc""]",0.48667649526385465,0.48667649526385465,0.0,True,0.75,0.75,0.5654495432396527,0.5654495432396527,0.0,0.0,"[""doc-252ff3db660fee0b084479eb""]","[""doc-252ff3db660fee0b084479eb""]","[""doc-61db8c996e09d2c34c03bd47"", ""doc-e2d8a223c34c34890d8fe282""]","[""doc-61db8c996e09d2c34c03bd47"", ""doc-e2d8a223c34c34890d8fe282""]","[""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
tefv5h-q-01-03,TEFV5H-01,latest_control,设备TEFV5H-01，资料截止2026-01-13T12:00:00Z；截止时最新一条业务记录是什么？,12,5,"[""doc-212c856313f45e18fc835abc"", ""doc-c3c3d69d76fd0ac6ae6b2c98"", ""doc-3ba7dac19be393385ef58851"", ""doc-40bde0ad506bd05025a447b0"", ""doc-c842b344ebbb2923977eedcc""]","[""doc-212c856313f45e18fc835abc"", ""doc-c3c3d69d76fd0ac6ae6b2c98"", ""doc-3ba7dac19be393385ef58851"", ""doc-40bde0ad506bd05025a447b0"", ""doc-c842b344ebbb2923977eedcc""]",,,,True,1.0,1.0,1.0,1.0,1.0,1.0,[],[],"[""doc-3ba7dac19be393385ef58851"", ""doc-40bde0ad506bd05025a447b0"", ""doc-c3c3d69d76fd0ac6ae6b2c98"", ""doc-c842b344ebbb2923977eedcc""]","[""doc-3ba7dac19be393385ef58851"", ""doc-40bde0ad506bd05025a447b0"", ""doc-c3c3d69d76fd0ac6ae6b2c98"", ""doc-c842b344ebbb2923977eedcc""]",[]
tefv5h-q-02-00,TEFV5H-02,complex_chain,设备TEFV5H-02，资料截止2026-02-13T12:00:00Z；从首次储能超时告警到最终验证，关键判断和操作是什么？,12,5,"[""doc-70413365049d0e21a1375124"", ""doc-5a3c6720ebe838f88763fb31"", ""doc-401b4cd79508df2b0a94111c"", ""doc-392f3cb89960080b1b8e6430"", ""doc-d99c3b22322fd1f2054c72bb""]","[""doc-70413365049d0e21a1375124"", ""doc-5a3c6720ebe838f88763fb31"", ""doc-401b4cd79508df2b0a94111c"", ""doc-392f3cb89960080b1b8e6430"", ""doc-d99c3b22322fd1f2054c72bb""]",0.5133994587483223,0.5133994587483223,0.0,True,0.6,0.6,0.5296347172140421,0.5296347172140421,0.0,0.0,"[""doc-0d5dc6a72b244b8ac68901b7"", ""doc-c4052c7ebe2dc22264f37fda""]","[""doc-0d5dc6a72b244b8ac68901b7"", ""doc-c4052c7ebe2dc22264f37fda""]","[""doc-70413365049d0e21a1375124"", ""doc-d99c3b22322fd1f2054c72bb""]","[""doc-70413365049d0e21a1375124"", ""doc-d99c3b22322fd1f2054c72bb""]","[""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
tefv5h-q-02-01,TEFV5H-02,complex_chain,设备TEFV5H-02，资料截止2026-02-13T12:00:00Z；初始的机械卡涩假设是如何被检查、替代线索和迟到证据更新并最终定案的？,12,5,"[""doc-ef3e68c5a9cff2da701a3c45"", ""doc-0d5dc6a72b244b8ac68901b7"", ""doc-d99c3b22322fd1f2054c72bb"", ""doc-c4052c7ebe2dc22264f37fda"", ""doc-ce776af7d7f837c41b37223c""]","[""doc-ef3e68c5a9cff2da701a3c45"", ""doc-0d5dc6a72b244b8ac68901b7"", ""doc-d99c3b22322fd1f2054c72bb"", ""doc-c4052c7ebe2dc22264f37fda"", ""doc-ce776af7d7f837c41b37223c""]",0.5398419793925193,0.5398419793925193,0.0,True,0.6,0.6,0.7227265726449519,0.7227265726449519,0.0,0.0,"[""doc-061f61c14ae57247d6cd58ef"", ""doc-5a3c6720ebe838f88763fb31""]","[""doc-061f61c14ae57247d6cd58ef"", ""doc-5a3c6720ebe838f88763fb31""]","[""doc-c4052c7ebe2dc22264f37fda"", ""doc-ce776af7d7f837c41b37223c""]","[""doc-c4052c7ebe2dc22264f37fda"", ""doc-ce776af7d7f837c41b37223c""]","[""QUERY_PROFILE_ERROR"", ""ROLE_PROJECTION_ERROR"", ""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
tefv5h-q-02-02,TEFV5H-02,cutoff_sensitive,设备TEFV5H-02，资料截止2026-02-09T23:00:00Z；在迟到更新入库前，哪些是已确认事实、哪些是阶段性判断、哪些仍不能确认？,8,5,"[""doc-392f3cb89960080b1b8e6430"", ""doc-d99c3b22322fd1f2054c72bb"", ""doc-0d5dc6a72b244b8ac68901b7"", ""doc-c4052c7ebe2dc22264f37fda"", ""doc-ef3e68c5a9cff2da701a3c45""]","[""doc-392f3cb89960080b1b8e6430"", ""doc-d99c3b22322fd1f2054c72bb"", ""doc-0d5dc6a72b244b8ac68901b7"", ""doc-c4052c7ebe2dc22264f37fda"", ""doc-ef3e68c5a9cff2da701a3c45""]",0.567903787338385,0.567903787338385,0.0,True,0.75,0.75,0.8318724637288826,0.8318724637288826,0.0,0.0,"[""doc-70413365049d0e21a1375124""]","[""doc-70413365049d0e21a1375124""]","[""doc-c4052c7ebe2dc22264f37fda"", ""doc-ef3e68c5a9cff2da701a3c45""]","[""doc-c4052c7ebe2dc22264f37fda"", ""doc-ef3e68c5a9cff2da701a3c45""]","[""QUERY_PROFILE_ERROR"", ""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH""]"
tefv5h-q-02-03,TEFV5H-02,latest_control,设备TEFV5H-02，资料截止2026-02-13T12:00:00Z；截止时最新一条业务记录是什么？,12,5,"[""doc-ce776af7d7f837c41b37223c"", ""doc-0ffbe07b84dabff94674e1e5"", ""doc-5a3c6720ebe838f88763fb31"", ""doc-e33b86946d09e9cf20f307be"", ""doc-70413365049d0e21a1375124""]","[""doc-ce776af7d7f837c41b37223c"", ""doc-0ffbe07b84dabff94674e1e5"", ""doc-5a3c6720ebe838f88763fb31"", ""doc-e33b86946d09e9cf20f307be"", ""doc-70413365049d0e21a1375124""]",,,,True,1.0,1.0,1.0,1.0,1.0,1.0,[],[],"[""doc-0ffbe07b84dabff94674e1e5"", ""doc-5a3c6720ebe838f88763fb31"", ""doc-70413365049d0e21a1375124"", ""doc-e33b86946d09e9cf20f307be""]","[""doc-0ffbe07b84dabff94674e1e5"", ""doc-5a3c6720ebe838f88763fb31"", ""doc-70413365049d0e21a1375124"", ""doc-e33b86946d09e9cf20f307be""]",[]
tefv5h-q-03-00,TEFV5H-03,complex_chain,设备TEFV5H-03，资料截止2026-07-13T12:00:00Z；从首次电导率高告警到最终验证，SVG阀冷系统电导率异常的关键判断和操作过程是怎样的？,12,5,"[""doc-1a0d56a7d87ba518e14f7c38"", ""doc-f52855ce98c28f1d595d744b"", ""doc-15ab8acfd1e4653ae51c5449"", ""doc-285a37c2bfdb3fa736d95c39"", ""doc-7a4458fbe61fc556aa7aaf37""]","[""doc-1a0d56a7d87ba518e14f7c38"", ""doc-f52855ce98c28f1d595d744b"", ""doc-15ab8acfd1e4653ae51c5449"", ""doc-285a37c2bfdb3fa736d95c39"", ""doc-7a4458fbe61fc556aa7aaf37""]",0.5099464201941037,0.5099464201941037,0.0,True,0.8,0.8,0.8687949224876582,0.8687949224876582,0.0,0.0,"[""doc-663e371863381a783d171046""]","[""doc-663e371863381a783d171046""]","[""doc-7a4458fbe61fc556aa7aaf37""]","[""doc-7a4458fbe61fc556aa7aaf37""]","[""ROLE_PROJECTION_ERROR"", ""RELATION_PROJECTION_ERROR"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
tefv5h-q-03-01,TEFV5H-03,complex_chain,设备TEFV5H-03，资料截止2026-07-13T12:00:00Z；初始的树脂失效解释是如何被后续检查、替代线索和迟到证据更新并最终定案的？,12,5,"[""doc-f52855ce98c28f1d595d744b"", ""doc-6423c71e41f29d5bce341c3d"", ""doc-7a4458fbe61fc556aa7aaf37"", ""doc-285a37c2bfdb3fa736d95c39"", ""doc-a990cb2a2b2666f1496d9949""]","[""doc-f52855ce98c28f1d595d744b"", ""doc-6423c71e41f29d5bce341c3d"", ""doc-7a4458fbe61fc556aa7aaf37"", ""doc-285a37c2bfdb3fa736d95c39"", ""doc-a990cb2a2b2666f1496d9949""]",0.5517467648787785,0.5517467648787785,0.0,True,0.6,0.6,0.6843515475204855,0.6843515475204855,0.0,0.0,"[""doc-1a0d56a7d87ba518e14f7c38"", ""doc-7c2ac34e8fb5407ebd7a3031""]","[""doc-1a0d56a7d87ba518e14f7c38"", ""doc-7c2ac34e8fb5407ebd7a3031""]","[""doc-285a37c2bfdb3fa736d95c39"", ""doc-7a4458fbe61fc556aa7aaf37""]","[""doc-285a37c2bfdb3fa736d95c39"", ""doc-7a4458fbe61fc556aa7aaf37""]","[""QUERY_PROFILE_ERROR"", ""RELATION_PROJECTION_ERROR"", ""MISSING_BRIDGE"", ""WRONG_BRANCH"", ""BROKEN_FLOW"", ""OBJECTIVE_PREFERS_FRAGMENTED_EVIDENCE""]"
